Player,Team,FantPos,Age,G,Cmp,PassAtt,PassYds,PassTD,Int,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,PPR,PosRank,OvRank,Year,adp,draft_pick,draft_year,Experience,Rookie,Soph,Third
ZachErtz,Eagles,TE,24,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,3.62,43.88,0.19,9.01,14,,2014,97.5,35,2013,1,0,1,0
DarrenMcFadden,Raiders,RB,27,16,0.0,0.06,0.0,0.0,0.0,9.69,33.38,0.12,3.5,2.25,13.25,0.0,7.54,39,,2014,118.8,4,2008,6,0,0,0
RonnieHillman,Broncos,RB,23,8,0.0,0.0,0.0,0.0,0.0,13.25,54.25,0.38,4.25,2.62,17.38,0.12,12.79,41,,2014,157.5,67,2012,2,0,0,1
CharlesClay,Dolphins,TE,25,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.14,43.21,0.21,9.75,16,,2014,130.1,174,2011,3,0,0,0
BishopSankey,Titans,RB,22,16,0.0,0.0,0.0,0.0,0.0,9.5,35.56,0.12,1.44,1.12,8.31,0.0,6.01,43,,2014,66.1,54,2014,0,1,0,0
MarkusWheaton,Steelers,WR,23,16,0.0,0.0,0.0,0.0,0.0,0.25,1.19,0.0,5.38,3.31,40.25,0.12,8.21,59,,2014,119.0,79,2013,1,0,1,0
DwayneBowe,Chiefs,WR,30,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,4.0,50.27,0.0,9.03,63,,2014,108.2,23,2007,7,0,0,0
RileyCooper,Eagles,WR,27,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.94,3.44,36.06,0.19,8.04,64,,2014,100.9,159,2010,4,0,0,0
JustinHunter,Titans,WR,23,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,2.33,41.5,0.25,7.98,69,,2014,95.0,34,2013,1,0,1,0
DougMartin,Buccaneers,RB,25,11,0.0,0.0,0.0,0.0,0.0,12.18,44.91,0.18,1.82,1.18,5.82,0.0,7.35,48,,2014,20.9,31,2012,2,0,0,1
ReggieBush,Lions,RB,29,11,0.0,0.0,0.0,0.0,0.0,6.91,27.0,0.18,5.09,3.64,23.0,0.0,9.73,51,,2014,33.3,2,2006,8,0,0,0
BenTate,3TM,RB,26,11,0.0,0.0,0.0,0.0,0.0,10.82,33.73,0.36,1.09,0.82,5.45,0.0,6.92,50,,2014,58.3,58,2010,4,0,0,0
TavonAustin,Rams,WR,24,15,0.0,0.0,0.0,0.0,0.0,2.4,14.93,0.13,2.93,2.07,16.13,0.0,6.37,72,,2014,145.5,8,2013,1,0,1,0
HakeemNicks,Colts,WR,26,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,2.38,25.31,0.25,6.41,73,,2014,115.0,29,2009,5,0,0,0
CecilShorts,Jaguars,WR,27,13,0.15,0.15,2.46,0.08,0.0,0.0,0.0,0.0,8.46,4.08,42.85,0.08,9.08,71,,2014,124.2,114,2011,3,0,0,0
